Phrase 1,Phrase 2,Phrase 3,Phrase 4,Phrase 5
EN: Good to see you. Let's start with some easy movement and build from there. | NO: Fint at du er her. Vi starter rolig og bygger derfra.,"EN: Ready when you are. Take a breath, settle in, and we'll ease into it. | NO: Klar når du er. Ta et pust, finn roen, så setter vi i gang.",EN: Nice timing. Let's warm up properly and set the tone for a good session. | NO: Bra timing. La oss varme opp ordentlig og legge grunnlaget.,"EN: Let's get moving. Controlled pace to start, then we'll find your rhythm. | NO: La oss komme i gang. Kontrollert tempo til å begynne med.",EN: Welcome back. Focus on how your body feels and we'll build from there. | NO: Velkommen tilbake. Kjenn på kroppen så bygger vi derfra.
"EN: Alright, let's begin. Smooth and steady, no rush. | NO: Ok, la oss begynne. Rolig og jevnt, uten stress.","EN: Good call showing up. Start easy, the intensity will come naturally. | NO: Bra at du dukket opp. Start rolig, intensiteten kommer naturlig.",EN: Great that you're here. We'll start slow and keep it simple. | NO: Fint at du er her. Vi starter sakte og holder det enkelt.,EN: Welcome. Just focus on breathing and moving at your own pace. | NO: Velkommen. Bare fokuser på pusten og beveg deg i ditt tempo.,"EN: Let's begin easy. No pressure, just getting your body warmed up. | NO: La oss starte rolig. Ingen press, bare få kroppen varm."
"EN: Nice to have you. Take it one step at a time, I'll guide you through. | NO: Godt å ha deg her. Ett steg om gangen, jeg guider deg.","EN: You're here, that's the hardest part. Now let's ease into it together. | NO: Du er her, det er det vanskeligste. Nå tar vi det rolig sammen.","EN: Take a moment. Deep breath in, slow breath out. Now let's begin. | NO: Ta et øyeblikk. Dyp innpust, rolig utpust. Nå begynner vi.","EN: Start by finding your breath. Shoulders down, chest open, easy pace. | NO: Start med å finne pusten. Skuldrene ned, brystet åpent, rolig tempo.",EN: Let's connect with your breathing first. Everything else follows from there. | NO: La oss koble på pusten først. Alt annet følger derfra.
"EN: Settle your breath, relax your body. We'll build the intensity gradually. | NO: Finn roen i pusten, slapp av kroppen. Vi bygger intensiteten gradvis.",EN: STOP! Breathe slowly. You're safe. | NO: STOPP! Pust sakte. Du er trygg.,EN: Welcome. Let's start slow. Find your rhythm. | NO: Velkommen. La oss starte rolig. Finn rytmen din.,"EN: Good. Breathe in, and out. Settle your shoulders. | NO: Bra. Pust inn, og ut. Slapp av skuldrene.","EN: Steady now. Don't rush. Warmup first, intensity later. | NO: Rolig nå. Ikke stress. Oppvarming først."
"EN: Easy does it. Focus on breathing, not speed. | NO: Ta det med ro. Fokuser på pusten.",EN: Well done. Let the breath settle. You earned it. | NO: Bra jobbet. La pusten roe seg. Du fortjener det.,EN: Relax. Slow it down. Shoulder and chest relaxed. | NO: Slapp av. Senk tempoet. Skuldre og bryst avslappet.,EN: Good session. Keep calm and controlled. | NO: God økt. Hold deg rolig og kontrollert.,EN: Steady breathing. That's how we finish strong. | NO: Jevn pust. Slik avslutter vi sterkt.
EN: Nice work. You controlled your effort well. | NO: Bra jobbet. Du kontrollerte innsatsen godt.,EN: Maintain control. Pace yourself. Don't overdo it. | NO: Behold kontrollen. Hold tempoet. Ikke overdrive.,"EN: Good. Keep that rhythm. Slightly faster, not frantic. | NO: Bra. Hold rytmen. Litt raskere, ikke hektisk.",EN: PUSH! Harder! | NO: TRYKK! Hardere!,EN: You got more! | NO: Du har mer!
"EN: Good. Keep that rhythm. Slightly faster, not frantic. | NO: Bra. Hold rytmen. Litt raskere, ikke hektisk.","EN: Steady arms, steady breath. That's it. | NO: Sterke armer, stø pust. Der ja.",EN: Keep going! Don't stop! | NO: Fortsett! Ikke stopp!,EN: Good! Hold the pace! | NO: Bra! Hold tempoet!,EN: Breathing quickened. Slow down a touch. | NO: Pusten øker. Senk litt.
EN: Maintain control. Pace yourself. Don't overdo it. | NO: Behold kontrollen. Hold tempoet.,"EN: One more interval like this and you're done. Focus. | NO: En runde til slik, så er du ferdig. Fokus.",EN: YES! Hold on! Ten more! | NO: JA! Hold ut! Ti til!,EN: STOP! | NO: STOPP!,EN: Breathe slow! | NO: Pust rolig!
EN: Easy now! | NO: Ta det rolig!,EN: Slow down! | NO: Senk farten!,EN: Too hard! | NO: For hardt!,"EN: Easy pace, nice start. | NO: Rolig tempo, fin start.","EN: Steady, good warmup. | NO: Jevnt, god oppvarming."
"EN: Gentle, keep warming up. | NO: Rolig, fortsett oppvarmingen.",EN: Nice and easy. | NO: Fint og rolig.,EN: Perfect warmup pace. | NO: Perfekt oppvarmingstempo.,"EN: Bring it down, easy now. | NO: Senk tempoet, ta det rolig nå.","EN: Slow breaths, good cooldown. | NO: Rolige pust, god nedkjøling."
"EN: Ease off, nice work. | NO: Slipp av, bra jobbet.","EN: Almost done, slow it. | NO: Nesten ferdig, senk farten.","EN: Perfect, keep slowing down. | NO: Perfekt, fortsett å roe ned.",EN: You can push harder! | NO: Du kan presse hardere!,"EN: More effort, you got this! | NO: Mer innsats, du klarer det!"
EN: Speed up a bit! | NO: Øk tempoet.,EN: Give me more power! | NO: Mer press nå!,EN: Let's pick up the pace! | NO: La oss øke farten!,"EN: Keep going, good pace! | NO: Fortsett, godt tempo!",EN: Stay with it! | NO: Hold deg fokusert!
"EN: Nice rhythm, maintain! | NO: Bra tempo!",EN: You got this! | NO: Du klarer det!,"EN: Good work, keep steady! | NO: Bra jobba! Hold jevnt tempo.",EN: Perfect! Hold it! | NO: Perfekt! Hold tempoet!,EN: Yes! Strong! | NO: Ja! Sterkt!
EN: Keep this! | NO: Behold dette!,EN: Excellent work! | NO: Utmerket jobbet!,EN: Ten more seconds! | NO: Ti sekunder til!,EN: Warming up?! We're WASTING TIME! | NO: Oppvarming?! Vi KASTER BORT TID!,EN: Move FASTER or go home! | NO: Beveg deg RASKERE eller gå hjem!
EN: My GRANDMOTHER warms up faster! | NO: BESTEMORA mi varmer opp raskere!,EN: This is PATHETIC! Let's GO! | NO: Dette er PATETISK! La oss KJØRE!,EN: You call this a warmup? I call it a NAP! | NO: Kaller du dette oppvarming? Jeg kaller det en LITEN BLUND!,EN: PATHETIC! My grandma pushes harder! | NO: PATETISK! Bestemora mi presser hardere!,EN: Are you even TRYING?! MOVE! | NO: PRØVER du i det hele tatt?! BEVEG DEG!
EN: I've seen SNAILS with more intensity! | NO: Jeg har sett SNEGLER med mer intensitet!,EN: Is that ALL you got?! EMBARRASSING! | NO: Er det ALT du har?! PINLIG!,EN: WAKE UP! This isn't a spa day! | NO: VÅKN OPP! Dette er ikke en spa-dag!,EN: Barely acceptable. Give me MORE! | NO: Så vidt godkjent. Gi meg MER!,EN: You can do better than THAT! | NO: Du kan bedre enn DET!
EN: I'm NOT impressed yet. HARDER! | NO: Jeg er IKKE imponert ennå. HARDERE!,EN: Keep going or I'll double it! | NO: Fortsett ellers dobler jeg det!,EN: That's it?! Push HARDER! | NO: Er det alt?! TRYKK HARDERE!,EN: FINALLY! Was that so hard?! | NO: ENDELIG! Var det så vanskelig?!,EN: NOW we're talking! Don't you DARE slow down! | NO: NÅ snakker vi! Ikke VÅG å senke farten!
EN: THERE it is! About TIME! | NO: DER er det! På TIDE!,EN: YES! That's what I want! MORE! | NO: JA! Det er det jeg vil ha! MER!,EN: Not bad. But I want BETTER! | NO: Ikke verst. Men jeg vil ha BEDRE!,EN: Done already?! Fine. You EARNED this break. | NO: Ferdig allerede?! Greit. Du FORTJENTE denne pausen.,"EN: Okay, okay. You survived. Barely. | NO: Ok, ok. Du overlevde. Så vidt."
EN: Not the worst I've seen. Rest up. | NO: Ikke det verste jeg har sett. Hvil deg.,EN: Acceptable performance. BARELY acceptable. | NO: Godkjent prestasjon. Så vidt godkjent.,"EN: Alright, breathe. You'll need it for next time. | NO: Greit, pust. Du trenger det til neste gang.","EN: Alright, real talk. Breathe. Safety first. | NO: Ok, alvor nå. Pust. Sikkerhet først.","EN: Okay, stop. I'm tough, not stupid. Rest. | NO: Ok, stopp. Jeg er toff, ikke dum. Hvil."
EN: Hey. Real break. Breathe slow. I mean it. | NO: Hei. Ordentlig pause. Pust rolig. Jeg mener det.,"EN: Alright, let's get ready. | NO: Greit, la oss gjøre oss klare.",EN: Drink some water if you need to. | NO: Drikk litt vann om du trenger.,EN: Stretch out anything that feels tight. | NO: Tøy ut det som kjennes stramt.,EN: We start in a moment. Take a deep breath. | NO: Vi starter snart. Ta et dypt pust.
"EN: Remember: if you need to stop at any point, just stop. Listen to your body. | NO: Husk: om du trenger å stoppe, bare stopp. Lytt til kroppen.",EN: Shake it out. Loosen up. | NO: Rist det ut. Slapp av.,"EN: If anything feels wrong during the workout, stop immediately. Your safety comes first. | NO: Hvis noe føles feil under økten, stopp med en gang. Din sikkerhet kommer først.",EN: Find your rhythm. Steady breaths. | NO: Finn rytmen. Jevne pust.,EN: Easy breathing. Let it flow. | NO: Rolig pust. La det flyte.
"EN: Shoulders down, chest open. | NO: Skuldrene ned, brystet åpent.",EN: Nice and controlled. Build slowly. | NO: Fint og kontrollert. Bygg sakte.,EN: Breathe through the nose if you can. | NO: Pust gjennom nesen om du kan.,EN: Breathe through it. | NO: Pust gjennom det.,EN: Strong exhale. Power. | NO: Sterk utpust. Kraft.
EN: Don't hold your breath. | NO: Ikke hold pusten.,EN: Exhale on the effort. | NO: Pust ut på innsatsen.,EN: Keep breathing. Stay with it. | NO: Fortsett å puste. Hold deg i det.,EN: Slow it down. In four... out six. | NO: Senk tempoet. Inn fire... ut seks.,EN: Long exhale. Let the tension go. | NO: Lang utpust. Slipp spenningen.
EN: Recovery breath. Nice and slow. | NO: Hvilepust. Fint og rolig.,EN: Breathe deep. You earned this. | NO: Pust dypt. Du fortjente dette.,EN: Slow nose breathing. Good. | NO: Rolig nesepust. Bra.,EN: Deep breath in... slow breath out. | NO: Dypt inn... sakte ut.,EN: You earned this. Breathe deep. | NO: Du fortjente dette. Pust dypt.
EN: Let your breathing return to normal. | NO: La pusten komme tilbake til normalt.,EN: Relax everything. Just breathe. | NO: Slapp av alt. Bare pust.,EN: Great session. Wind it down. | NO: Bra økt. Ro det ned.,EN: That's okay. Slow way down. Breathe through your nose. | NO: Det er greit. Senk farten. Pust gjennom nesen.,EN: Slowing down. Match my count. In... two... three... | NO: Vi senker tempoet. Følg tellingen. Inn... to... tre...
EN: Stop moving. Sit down if you need to. Slow nose breathing. | NO: Stopp. Sett deg ned om du trenger. Rolig nesepust.,EN: Watch disconnected. I'll coach using breathing and timing. | NO: Klokken er frakoblet. Jeg coacher videre med pust og timing.,EN: No sensors now. Run by feel. | NO: Ingen sensorer nå. Løp på følelse.,EN: Watch restored. Zone coaching is back. | NO: Klokken er tilbake. Sonecoaching er aktiv igjen.,EN: 30 seconds left. | NO: 30 sekunder igjen.
EN: 15 seconds left. | NO: 15 sekunder igjen.,EN: 5 seconds left. | NO: 5 sekunder igjen.,EN: Next interval now. | NO: Neste drag nå.,EN: Main set now. Stay controlled. | NO: Hoveddel nå. Hold kontroll.,EN: Workout finished. Nice work. | NO: Økten er ferdig. Bra jobbet.
EN: Heart-rate signal is weak right now. I'll coach using timing and breathing until it stabilizes. Tighten your watch strap. | NO: Puls-signalet er svakt akkurat nå. Jeg coacher med timing og pust til det stabiliserer seg. Stram klokka litt.,EN: Heart-rate signal is stable again. Returning to zone coaching. | NO: Pulsen er stabil igjen. Vi går tilbake til sonecoaching.,EN: Ease off 10-15 seconds. | NO: Litt ned 10-15 sekunder.,EN: Ease off and regain control. | NO: Litt ned. Finn kontroll.,EN: HR still climbing. Ease down. | NO: Pulsen stiger. Rolig ned.
EN: Your heart rate is still climbing. Ease down for 20 seconds. | NO: Pulsen stiger fortsatt. Ro ned 20 sekunder.,EN: Build slightly now. | NO: Bygg litt opp nå.,EN: Build effort slightly now. | NO: Litt opp i innsats nå.,EN: You're moving. Add a little. | NO: Du er i gang. Litt opp.,EN: You're moving well. Add a little effort and keep the flow. | NO: Du er i gang. Øk litt nå og hold flyten.
EN: Good. Stay here. | NO: Bra. Hold deg her.,EN: Nice. Hold this zone. | NO: Der ja. Hold deg i denne sonen.,EN: Work block. Controlled hard. | NO: Dragstart. Kontroller hardt.,EN: New work block. Controlled hard now. | NO: Nytt drag. Sterk kontroll nå.,EN: Recovery block. Easy jog. | NO: Pauseblokk. Rolig jogg.
EN: Warm-up now. Keep it easy. | NO: Oppvarming nå. Hold det lett.,EN: Cooldown now. Bring heart rate down. | NO: Nedjogg nå. Senk pulsen.,EN: Looks like you paused. Start easy again when ready. | NO: Du ser ut til å ha stoppet. Start rolig igjen når du er klar.,"EN: Good, you're moving again. Keep it controlled. | NO: Bra, du er i gang igjen. Hold rolig kontroll.",EN: Stay controlled. One rep at a time. | NO: Hold kontroll. Ett drag av gangen.
EN: Stay easy between reps. | NO: Rolig mellom dragene.,EN: Hold steady rhythm. | NO: Hold jevn rytme.,EN: You're doing great. | NO: Du er kjempeflink.,EN: Strong work. Keep it up. | NO: Sterkt. Fortsett slik.,EN: That's the effort I want to see. | NO: Det er innsatsen jeg vil se.
EN: One step at a time. You got this. | NO: Ett steg om gangen. Du klarer det.,EN: Discipline beats motivation. Keep going. | NO: Disiplin slår motivasjon. Fortsett.,EN: This is where it counts. | NO: Det er nå det gjelder.,EN: You showed up. Now finish it. | NO: Du møtte opp. Nå fullfører du.,EN: Trust the process. | NO: Stol på prosessen.
EN: Every rep matters. | NO: Hvert steg teller.,EN: Finish what you started. | NO: Fullfør det du begynte på.,,,
