Sentence 1	Sentence 2	Sentence 3	Sentence 4	Sentence 5
Fint at du er her. Vi starter rolig og bygger derfra.	Klar når du er. Ta et pust, finn roen, så setter vi i gang.	Bra timing. La oss varme opp ordentlig og legge grunnlaget.	La oss komme i gang. Kontrollert tempo til å begynne med.	Velkommen tilbake. Kjenn på kroppen så bygger vi derfra.
Ok, la oss begynne. Rolig og jevnt, uten stress.	Bra at du dukket opp. Start rolig, intensiteten kommer naturlig.	Fint at du er her. Vi starter sakte og holder det enkelt.	Velkommen. Bare fokuser på pusten og beveg deg i ditt tempo.	La oss starte rolig. Ingen press, bare få kroppen varm.
Godt å ha deg her. Ett steg om gangen, jeg guider deg.	Du er her, det er det vanskeligste. Nå tar vi det rolig sammen.	Ta et øyeblikk. Dyp innpust, rolig utpust. Nå begynner vi.	Start med å finne pusten. Skuldrene ned, brystet åpent, rolig tempo.	La oss koble på pusten først. Alt annet følger derfra.
Finn roen i pusten, slapp av kroppen. Vi bygger intensiteten gradvis.	STOPP! Pust sakte. Du er trygg.	Velkommen. La oss starte rolig. Finn rytmen din.	Bra. Pust inn, og ut. Slapp av skuldrene.	Rolig nå. Ikke stress. Oppvarming først.
Ta det med ro. Fokuser på pusten.	Bra jobbet. La pusten roe seg. Du fortjener det.	Slapp av. Senk tempoet. Skuldre og bryst avslappet.	God økt. Hold deg rolig og kontrollert.	Jevn pust. Slik avslutter vi sterkt.
Bra jobbet. Du kontrollerte innsatsen godt.	Behold kontrollen. Hold tempoet. Ikke overdrive.	Bra. Hold rytmen. Litt raskere, ikke hektisk.	TRYKK! Hardere!	Du har mer!
Bra. Hold rytmen. Litt raskere, ikke hektisk.	Sterke armer, stø pust. Der ja.	Fortsett! Ikke stopp!	Bra! Hold tempoet!	Pusten øker. Senk litt.
Behold kontrollen. Hold tempoet.	En runde til slik, så er du ferdig. Fokus.	JA! Hold ut! Ti til!	STOPP!	Pust rolig!
Ta det rolig!	Senk farten!	For hardt!	Rolig tempo, fin start.	Jevnt, god oppvarming.
Rolig, fortsett oppvarmingen.	Fint og rolig.	Perfekt oppvarmingstempo.	Senk tempoet, ta det rolig nå.	Rolige pust, god nedkjøling.
Slipp av, bra jobbet.	Nesten ferdig, senk farten.	Perfekt, fortsett å roe ned.	Du kan presse hardere!	Mer innsats, du klarer det!
Øk tempoet.	Mer press nå!	La oss øke farten!	Fortsett, godt tempo!	Hold deg fokusert!
Bra tempo!	Du klarer det!	Bra jobba! Hold jevnt tempo.	Perfekt! Hold tempoet!	Ja! Sterkt!
Behold dette!	Utmerket jobbet!	Ti sekunder til!	Oppvarming?! Vi KASTER BORT TID!	Beveg deg RASKERE eller gå hjem!
BESTEMORA mi varmer opp raskere!	Dette er PATETISK! La oss KJØRE!	Kaller du dette oppvarming? Jeg kaller det en LITEN BLUND!	PATETISK! Bestemora mi presser hardere!	PRØVER du i det hele tatt?! BEVEG DEG!
Jeg har sett SNEGLER med mer intensitet!	Er det ALT du har?! PINLIG!	VÅKN OPP! Dette er ikke en spa-dag!	Så vidt godkjent. Gi meg MER!	Du kan bedre enn DET!
Jeg er IKKE imponert ennå. HARDERE!	Fortsett ellers dobler jeg det!	Er det alt?! TRYKK HARDERE!	ENDELIG! Var det så vanskelig?!	NÅ snakker vi! Ikke VÅG å senke farten!
DER er det! På TIDE!	JA! Det er det jeg vil ha! MER!	Ikke verst. Men jeg vil ha BEDRE!	Ferdig allerede?! Greit. Du FORTJENTE denne pausen.	Ok, ok. Du overlevde. Så vidt.
Ikke det verste jeg har sett. Hvil deg.	Godkjent prestasjon. Så vidt godkjent.	Greit, pust. Du trenger det til neste gang.	Ok, alvor nå. Pust. Sikkerhet først.	Ok, stopp. Jeg er toff, ikke dum. Hvil.
Hei. Ordentlig pause. Pust rolig. Jeg mener det.	Greit, la oss gjøre oss klare.	Drikk litt vann om du trenger.	Tøy ut det som kjennes stramt.	Vi starter snart. Ta et dypt pust.
Husk: om du trenger å stoppe, bare stopp. Lytt til kroppen.	Rist det ut. Slapp av.	Hvis noe føles feil under økten, stopp med en gang. Din sikkerhet kommer først.	Finn rytmen. Jevne pust.	Rolig pust. La det flyte.
Skuldrene ned, brystet åpent.	Fint og kontrollert. Bygg sakte.	Pust gjennom nesen om du kan.	Pust gjennom det.	Sterk utpust. Kraft.
Ikke hold pusten.	Pust ut på innsatsen.	Fortsett å puste. Hold deg i det.	Senk tempoet. Inn fire... ut seks.	Lang utpust. Slipp spenningen.
Hvilepust. Fint og rolig.	Pust dypt. Du fortjente dette.	Rolig nesepust. Bra.	Dypt inn... sakte ut.	Du fortjente dette. Pust dypt.
La pusten komme tilbake til normalt.	Slapp av alt. Bare pust.	Bra økt. Ro det ned.	Det er greit. Senk farten. Pust gjennom nesen.	Vi senker tempoet. Følg tellingen. Inn... to... tre...
Stopp. Sett deg ned om du trenger. Rolig nesepust.	Klokken er frakoblet. Jeg coacher videre med pust og timing.	Ingen sensorer nå. Løp på følelse.	Klokken er tilbake. Sonecoaching er aktiv igjen.	30 sekunder igjen.
15 sekunder igjen.	5 sekunder igjen.	Neste drag nå.	Hoveddel nå. Hold kontroll.	Økten er ferdig. Bra jobbet.
Puls-signalet er svakt akkurat nå. Jeg coacher med timing og pust til det stabiliserer seg. Stram klokka litt.	Pulsen er stabil igjen. Vi går tilbake til sonecoaching.	Litt ned 10-15 sekunder.	Litt ned. Finn kontroll.	Pulsen stiger. Rolig ned.
Pulsen stiger fortsatt. Ro ned 20 sekunder.	Bygg litt opp nå.	Litt opp i innsats nå.	Du er i gang. Litt opp.	Du er i gang. Øk litt nå og hold flyten.
Bra. Hold deg her.	Der ja. Hold deg i denne sonen.	Dragstart. Kontroller hardt.	Nytt drag. Sterk kontroll nå.	Pauseblokk. Rolig jogg.
Oppvarming nå. Hold det lett.	Nedjogg nå. Senk pulsen.	Du ser ut til å ha stoppet. Start rolig igjen når du er klar.	Bra, du er i gang igjen. Hold rolig kontroll.	Hold kontroll. Ett drag av gangen.
Rolig mellom dragene.	Hold jevn rytme.	Du er kjempeflink.	Sterkt. Fortsett slik.	Det er innsatsen jeg vil se.
Ett steg om gangen. Du klarer det.	Disiplin slår motivasjon. Fortsett.	Det er nå det gjelder.	Du møtte opp. Nå fullfører du.	Stol på prosessen.
Hvert steg teller.	Fullfør det du begynte på.			
